Reactions_Number,Temperature,S_C,H_logP,H_TPSA,Atom1 NBO charge,Atom3 NBO charge,Atom4 NBO charge,C=O/C=N Vibration Frequency,Sterimol L1,Sterimol Bmin1,Sterimol Bmax1,Sterimol L2,Sterimol Bmin2,Sterimol Bmax2,C_Di_HA,Bite_Anger,C_BL1,C_BL2,Ph_distance,N_Q1,N_Q2,M_Q,%V_bur,Ee
R12_11_Cat08_T323,323,200,-0.327466667,27.02666667,-0.607,-0.157,-0.216,1735.46,6.22 ,1.92 ,4.58 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_12_Cat08_T323,323,200,-0.327466667,27.02666667,-0.6,-0.152,-0.218,1736.55,11.27 ,1.70 ,5.89 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R12_13_Cat08_T323,323,200,-0.327466667,27.02666667,-0.61,-0.172,-0.216,1731.67,10.39 ,1.90 ,5.84 ,3.42 ,1.70 ,4.96 ,48.2,79.02,2.1505,2.11373,1.92,-0.901,-0.575,0.24,0.817,99
R13_20_Cat05_T298,298,67,0.17,27.57,-0.553,0.609,-0.652,1793.26,6.45 ,2.13 ,6.50 ,6.25 ,1.70 ,5.20 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_01_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.161,1730.99,5.27 ,1.70 ,7.69 ,5.93 ,1.70 ,3.56 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_03_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.159,1731.14,5.23 ,1.70 ,7.69 ,7.05 ,1.70 ,5.08 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_04_Cat05_T298,298,100,0.17,27.57,-0.578,-0.13,-0.16,1731.53,5.25 ,1.70 ,7.69 ,7.06 ,1.70 ,4.59 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_13_Cat05_T298,298,100,0.17,27.57,-0.576,0.188,-0.128,1728.16,5.16 ,1.70 ,7.71 ,4.29 ,1.70 ,3.62 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_14_Cat05_T298,298,100,0.17,27.57,-0.573,-0.13,-0.329,1721.98,5.26 ,1.70 ,7.70 ,4.64 ,1.76 ,3.46 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R14_20_Cat05_T298,298,100,0.17,27.57,-0.535,-0.106,-0.123,1733.09,4.23 ,1.70 ,7.71 ,5.91 ,1.70 ,5.25 ,40.8,79.18,2.14419,2.11169,1.74,-0.83,-0.553,0.027,0.794,99
R15_01_Cat08_T273,273,200,0.17,27.57,-0.561,-0.167,-0.24,1759.02,6.79 ,2.93 ,5.49 ,3.47 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_02_Cat08_T273,273,200,0.17,27.57,-0.563,-0.162,-0.239,1757.61,6.77 ,2.95 ,5.47 ,5.38 ,1.70 ,4.47 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_03_Cat08_T273,273,200,0.17,27.57,-0.567,-0.177,-0.239,1754.57,6.78 ,2.94 ,5.46 ,5.93 ,1.70 ,3.53 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_04_Cat08_T273,273,200,0.17,27.57,-0.563,-0.163,-0.239,1752.4,6.78 ,2.93 ,5.48 ,6.75 ,1.71 ,5.31 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_05_Cat08_T273,273,200,0.17,27.57,-0.577,-0.199,-0.238,1745.91,6.79 ,2.92 ,5.45 ,6.89 ,1.70 ,4.02 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_06_Cat08_T273,273,200,0.17,27.57,-0.573,-0.178,-0.239,1749.07,6.11 ,1.70 ,5.97 ,6.29 ,1.70 ,4.12 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_07_Cat08_T273,273,200,0.17,27.57,-0.564,-0.18,-0.239,1758.62,6.78 ,2.94 ,5.46 ,3.47 ,1.70 ,5.57 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_08_Cat08_T273,273,200,0.17,27.57,-0.559,-0.165,-0.239,1759.84,6.77 ,2.95 ,5.44 ,3.49 ,1.70 ,6.27 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_09_Cat08_T273,273,200,0.17,27.57,-0.559,-0.164,-0.239,1760.04,6.77 ,2.93 ,5.46 ,3.49 ,1.70 ,6.50 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_10_Cat08_T273,273,200,0.17,27.57,-0.544,-0.16,-0.236,1775.5,6.78 ,2.90 ,5.50 ,4.53 ,1.74 ,4.89 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_11_Cat08_T273,273,200,0.17,27.57,-0.55,0.094,-0.235,1785.74,6.78 ,2.94 ,5.45 ,3.35 ,1.70 ,4.90 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_12_Cat08_T273,273,200,0.17,27.57,-0.554,-0.198,-0.241,1765.79,6.12 ,1.70 ,5.97 ,3.27 ,1.70 ,4.87 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_13_Cat08_T273,273,200,0.17,27.57,-0.547,0.121,-0.235,1784.99,6.77 ,2.94 ,5.46 ,6.62 ,1.71 ,5.28 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_14_Cat08_T273,273,200,0.17,27.57,-0.572,0.189,-0.232,1746.31,8.00 ,1.89 ,5.91 ,3.93 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_16_Cat08_T273,273,200,0.17,27.57,-0.569,-0.237,-0.569,1796.1,8.01 ,1.70 ,5.91 ,6.87 ,1.76 ,3.55 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_17_Cat08_T273,273,200,0.17,27.57,-0.564,-0.247,-0.55,1792.69,8.00 ,1.70 ,5.92 ,6.01 ,1.70 ,5.99 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_18_Cat08_T273,273,200,0.17,27.57,-0.577,-0.238,-0.339,1791.39,7.97 ,1.70 ,5.93 ,3.26 ,1.70 ,3.26 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R15_19_Cat08_T273,273,200,0.17,27.57,-0.536,-0.166,-0.225,1751.55,8.03 ,1.70 ,5.89 ,9.09 ,1.70 ,3.35 ,48.7,79.18,2.14419,2.11169,1.85,-0.903,-0.574,0.237,0.819,99
R17_07_Cat08_T298,298,100,0.17,27.57,-0.572,0.347,-0.373,1767.17,6.15 ,1.70 ,7.21 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_11_Cat08_T298,298,100,0.17,27.57,-0.569,0.325,-0.38,1728.28,8.80 ,1.70 ,6.07 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_12_Cat08_T298,298,100,0.17,27.57,-0.572,0.325,-0.408,1729.05,6.32 ,2.60 ,6.24 ,4.38 ,1.70 ,4.30 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R17_21_Cat08_T298,298,100,0.17,27.57,-0.56,0.326,-0.357,1737.3,6.66 ,1.70 ,6.04 ,4.36 ,1.70 ,4.31 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R20_01_Cat12_T323,323,100,-0.14,72.3,-0.618,-0.163,-0.345,1762.02,9.23 ,2.82 ,4.43 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_02_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.163,-0.345,1762.54,7.72 ,2.52 ,5.38 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_03_Cat12_T323,323,100,-0.14,72.3,-0.618,-0.162,-0.345,1762.37,8.36 ,2.80 ,4.44 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_04_Cat12_T323,323,100,-0.14,72.3,-0.616,-0.161,-0.345,1763.98,8.54 ,2.37 ,6.28 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_05_Cat12_T323,323,100,-0.14,72.3,-0.605,-0.163,-0.346,1772.41,5.54 ,3.00 ,6.68 ,3.25 ,2.00 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_08_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.162,-0.345,1762.54,11.16 ,2.14 ,5.70 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_09_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.163,-0.345,1762.81,4.17 ,1.77 ,7.77 ,3.25 ,1.96 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_12_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.162,-0.345,1763.47,8.04 ,2.30 ,8.03 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_13_Cat12_T323,323,100,-0.14,72.3,-0.617,-0.163,-0.345,1762.87,9.32 ,2.44 ,4.76 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_14_Cat12_T323,323,100,-0.14,72.3,-0.615,-0.161,-0.345,1764.82,6.03 ,2.65 ,8.87 ,3.25 ,1.96 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_16_Cat12_T323,323,100,-0.14,72.3,-0.616,-0.169,-0.345,1763.98,8.22 ,1.70 ,6.58 ,3.25 ,1.99 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R20_18_Cat12_T323,323,100,-0.14,72.3,-0.616,-0.16,-0.345,1763.43,7.87 ,2.80 ,4.40 ,3.25 ,1.97 ,3.24 ,48.1,78.41,2.18974,2.12848,1.74,-0.851,-0.737,0.032,0.784,99
R21_01_Cat08_T298,298,100,0.17,27.57,-0.543,-0.164,-0.439,1775.83,3.46 ,1.70 ,4.96 ,3.27 ,1.70 ,4.16 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_02_Cat08_T298,298,100,0.17,27.57,-0.548,-0.164,-0.432,1768.7,3.46 ,1.70 ,4.96 ,4.13 ,1.70 ,3.17 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_03_Cat08_T298,298,100,0.17,27.57,-0.544,-0.162,-0.441,1770.89,3.46 ,1.70 ,4.96 ,4.12 ,2.06 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_04_Cat08_T298,298,100,0.17,27.57,-0.551,-0.167,-0.443,1753.12,4.10 ,2.06 ,4.41 ,3.47 ,1.70 ,4.96 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_06_Cat08_T298,298,100,0.17,27.57,-0.544,-0.163,-0.443,1771.85,5.35 ,1.70 ,5.70 ,3.46 ,1.70 ,4.96 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_07_Cat08_T298,298,100,0.17,27.57,-0.545,-0.169,-0.446,1667.38,8.06 ,1.73 ,5.96 ,3.46 ,1.70 ,4.96 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_08_Cat08_T298,298,100,0.17,27.57,-0.545,-0.176,-0.44,1769.85,3.46 ,1.70 ,5.57 ,4.12 ,2.06 ,4.06 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_09_Cat08_T298,298,100,0.17,27.57,-0.54,-0.161,-0.441,1772.06,3.47 ,1.70 ,6.50 ,4.12 ,2.05 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_10_Cat08_T298,298,100,0.17,27.57,-0.534,-0.144,-0.441,1777.13,3.46 ,1.70 ,6.40 ,4.12 ,2.05 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_11_Cat08_T298,298,100,0.17,27.57,-0.548,-0.171,-0.44,1766.74,5.93 ,1.70 ,3.56 ,4.12 ,2.05 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_12_Cat08_T298,298,100,0.17,27.57,-0.557,-0.193,-0.439,1760.1,6.89 ,1.70 ,4.02 ,4.12 ,2.05 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_13_Cat08_T298,298,100,0.17,27.57,-0.542,-0.144,-0.441,1770.98,6.15 ,1.70 ,4.66 ,4.12 ,2.06 ,4.07 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_14_Cat08_T298,298,100,0.17,27.57,-0.542,-0.146,-0.439,1775.38,6.15 ,1.70 ,4.66 ,3.27 ,1.70 ,4.16 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_15_Cat08_T298,298,100,0.17,27.57,-0.557,-0.176,-0.439,1758.09,6.88 ,1.70 ,6.21 ,4.12 ,2.06 ,4.08 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_16_Cat08_T298,298,100,0.17,27.57,-0.544,-0.157,-0.44,1765.51,6.76 ,1.70 ,5.31 ,4.12 ,2.06 ,4.06 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_17_Cat08_T298,298,100,0.17,27.57,-0.547,-0.34,-0.431,1756.11,4.10 ,1.70 ,4.07 ,4.63 ,1.76 ,3.46 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_18_Cat08_T298,298,100,0.17,27.57,-0.545,0.176,-0.438,1763.22,4.11 ,1.70 ,4.09 ,4.28 ,1.70 ,3.62 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_19_Cat08_T298,298,100,0.17,27.57,-0.536,0.096,-0.447,1789.21,4.35 ,1.70 ,4.43 ,4.11 ,1.70 ,4.11 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_20_Cat08_T298,298,100,0.17,27.57,-0.564,0.057,-0.427,1735.11,6.23 ,1.74 ,5.36 ,4.14 ,1.70 ,4.14 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_21_Cat08_T298,298,100,0.17,27.57,-0.546,-0.169,-0.445,1780.64,3.42 ,1.70 ,4.96 ,2.67 ,1.70 ,4.05 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_22_Cat08_T298,298,100,0.17,27.57,-0.541,-0.163,-0.446,1772.98,3.43 ,1.70 ,4.96 ,4.23 ,2.21 ,4.03 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_23_Cat08_T298,298,100,0.17,27.57,-0.536,-0.451,-0.788,1825.56,5.35 ,1.70 ,5.69 ,2.18 ,1.70 ,2.13 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R21_24_Cat08_T298,298,100,0.17,27.57,-0.54,-0.449,-0.562,1820.43,5.35 ,1.70 ,5.69 ,3.26 ,1.70 ,2.71 ,48.2,79.31,2.13151,2.10479,1.85,-0.892,-0.575,0.229,0.825,99
R22_11_Cat13_T313,313,1000,0.17,27.57,-0.615,-0.134,-0.561,1708.02,5.34 ,1.70 ,5.70 ,5.69 ,1.70 ,5.24 ,42.9,78.77,2.11587,2.15011,1.82,-0.833,-0.745,-0.265,0.706,99
R8_01_Cat08_T303,303,100,0.17,27.57,-0.584,-0.191,-0.565,1768.98,8.06 ,2.45 ,4.77 ,3.42 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_02_Cat08_T303,303,100,0.17,27.57,-0.586,-0.186,-0.565,1767.01,8.07 ,2.44 ,4.77 ,5.55 ,1.70 ,4.40 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_03_Cat08_T303,303,100,0.17,27.57,-0.582,-0.175,-0.566,1768.54,8.03 ,2.47 ,4.76 ,6.45 ,1.70 ,4.13 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_04_Cat08_T303,303,100,0.17,27.57,-0.596,-0.217,-0.564,1760.02,8.02 ,1.74 ,5.40 ,6.88 ,1.70 ,4.04 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_06_Cat08_T303,303,100,0.17,27.57,-0.577,-0.174,-0.566,1771.65,8.09 ,2.41 ,4.77 ,4.88 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_07_Cat08_T303,303,100,0.17,27.57,-0.58,-0.187,-0.567,1769.52,8.03 ,1.74 ,5.40 ,3.43 ,1.70 ,6.50 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_08_Cat08_T303,303,100,0.17,27.57,-0.577,-0.175,-0.566,1771.75,8.10 ,2.40 ,4.77 ,4.66 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_09_Cat08_T303,303,100,0.17,27.57,-0.58,-0.187,-0.567,1769.38,8.02 ,1.74 ,5.40 ,3.43 ,1.70 ,6.27 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_10_Cat08_T303,303,100,0.17,27.57,-0.579,-0.173,-0.566,1770.41,8.05 ,2.46 ,4.76 ,4.02 ,1.70 ,4.96 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_11_Cat08_T303,303,100,0.17,27.57,-0.578,-0.184,-0.566,1774.2,8.11 ,2.39 ,4.77 ,5.18 ,1.70 ,5.20 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R8_12_Cat08_T303,303,100,0.17,27.57,-0.574,-0.171,-0.567,1772.76,8.03 ,1.73 ,5.38 ,3.42 ,1.70 ,6.37 ,48.7,79.18,2.14419,2.11169,1.85,-0.897,-0.576,0.237,0.819,99
R07_02_Cat05_T300,300,100,0.17,27.57,-0.569,-0.142,-0.171,1770.96,10.94 ,1.70 ,4.07 ,3.42 ,1.70 ,4.95 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.2
R05_06_Cat06_T333,333,500,0.17,27.57,-0.574,-0.166,-0.312,1780.07,3.37 ,1.70 ,6.24 ,2.53 ,1.70 ,3.49 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.5
R05_10_Cat07_T313,313,500,0.17,27.57,-0.578,-0.167,-0.346,1770.74,3.36 ,1.70 ,4.93 ,2.38 ,1.70 ,3.75 ,40.1,75.28,2.14546,2.17619,1.73,-0.875,-0.57,0.038,0.799,99.5
R07_08_Cat05_T300,300,100,0.17,27.57,-0.57,-0.142,-0.171,1770.99,5.71 ,1.70 ,3.20 ,3.42 ,1.70 ,4.96 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.5
R05_12_Cat06_T303,303,500,0.17,27.57,-0.594,-0.169,-0.437,1750.64,5.27 ,1.70 ,3.29 ,3.36 ,1.70 ,4.93 ,40.6,75.05,2.14777,2.17693,1.73,-0.872,-0.57,0.037,0.81,99.6
R05_05_Cat06_T333,333,200,0.17,27.57,-0.595,-0.193,-0.306,1765.17,6.84 ,1.70 ,4.04 ,2.52 ,1.70 ,3.50 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.7
R05_04_Cat06_T333,333,500,0.17,27.57,-0.58,-0.167,-0.31,1776.57,3.36 ,1.70 ,4.93 ,2.52 ,1.70 ,3.49 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.8
R05_07_Cat06_T333,333,500,0.17,27.57,-0.609,-0.236,-0.301,1731.87,4.14 ,1.70 ,4.59 ,2.49 ,1.70 ,3.50 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.8
R05_01_Cat06_T333,333,1000,0.17,27.57,-0.582,-0.168,-0.303,1748.39,3.43 ,1.70 ,4.95 ,2.70 ,1.70 ,4.51 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.9
R05_01_Cat07_T333,333,1000,0.17,27.57,-0.582,-0.168,-0.303,1748.39,3.43 ,1.70 ,4.95 ,2.70 ,1.70 ,4.51 ,40.1,75.28,2.14546,2.17619,1.73,-0.875,-0.57,0.038,0.799,99.9
R05_02_Cat06_T333,333,500,0.17,27.57,-0.584,-0.148,-0.302,1745.29,6.15 ,1.70 ,4.66 ,2.70 ,1.70 ,4.51 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.9
R05_03_Cat06_T333,333,500,0.17,27.57,-0.573,-0.15,-0.306,1755.9,4.88 ,1.70 ,4.96 ,2.70 ,1.70 ,4.51 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.9
R05_11_Cat07_T313,313,500,0.17,27.57,-0.579,-0.166,-0.367,1746.95,3.42 ,1.70 ,4.96 ,2.71 ,1.70 ,4.50 ,40.1,75.28,2.14546,2.17619,1.73,-0.875,-0.57,0.038,0.799,99.9
R05_14_Cat06_T333,333,500,0.17,27.57,-0.593,-0.172,-0.422,1758.83,6.45 ,1.70 ,5.10 ,3.36 ,1.70 ,4.93 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.9
R05_15_Cat06_T333,333,500,0.17,27.57,-0.619,-0.165,-0.424,1694.43,6.75 ,2.02 ,4.61 ,3.42 ,1.70 ,4.96 ,40.6,75.07,2.14675,2.1771,1.73,-0.872,-0.57,0.037,0.81,99.9
R05_16_Cat07_T333,333,100,0.17,27.57,-0.618,-0.157,-0.428,1692.56,4.23 ,2.55 ,6.71 ,3.43 ,1.70 ,4.96 ,40.1,75.28,2.14546,2.17619,1.73,-0.875,-0.57,0.038,0.799,99.9
R07_01_Cat05_T300,300,100,0.17,27.57,-0.569,-0.142,-0.171,1771.05,9.47 ,1.70 ,5.81 ,3.42 ,1.70 ,4.95 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.9
R07_03_Cat05_T300,300,100,0.17,27.57,-0.569,-0.142,-0.171,1771.02,11.88 ,1.70 ,4.86 ,3.42 ,1.70 ,4.95 ,40.8,77.14,2.15921,2.15291,1.74,-0.83,-0.553,0.027,0.794,99.9
R22_08_Cat13_T313,313,1000,0.17,27.57,-0.627,-0.128,-0.791,1708.32,6.56 ,1.70 ,5.87 ,2.18 ,1.70 ,2.14 ,42.9,78.77,2.11587,2.15011,1.82,-0.833,-0.745,-0.265,0.706,99.9
